type	latitude	longitude	altitude (m)	name
T	-15.739750048	-72.336236836	3905.0	Colca_Valley_Longs_and_Lats
T	-15.736415521	-72.332200129	3779.1	
T	-15.736415521	-72.328163421	3816.0	
T	-15.736415521	-72.324126714	3856.3	
T	-15.736415521	-72.320090006	3876.8	
T	-15.736415521	-72.316053299	3787.2	
T	-15.736415521	-72.312016592	3541.1	
T	-15.736415521	-72.307979884	3215.7	
T	-15.736415521	-72.303943177	3079.2	
T	-15.736415521	-72.299906469	3168.1	
T	-15.736415521	-72.295869762	3205.9	
T	-15.736415521	-72.291833054	3171.6	
T	-15.736415521	-72.287796347	3077.0	
T	-15.736415521	-72.283759640	2988.8	
T	-15.736415521	-72.279722932	2942.8	
T	-15.736415521	-72.275686225	2817.9	
T	-15.736415521	-72.271649517	2875.1	
T	-15.736415521	-72.267612810	2610.1	
T	-15.736415521	-72.263576103	2361.3	
T	-15.736415521	-72.259539395	2083.0	
T	-15.736415521	-72.255502688	1783.7	
T	-15.736415521	-72.251465980	1535.4	
T	-15.736415521	-72.247429273	1384.2	
T	-15.736415521	-72.243392565	1457.5	
T	-15.736415521	-72.239355858	2019.2	
T	-15.736415521	-72.235319151	2368.4	
T	-15.736415521	-72.231282443	2473.7	
T	-15.736415521	-72.227245736	2525.5	
T	-15.736415521	-72.223209028	2839.9	
T	-15.736415521	-72.219172321	3208.7	
T	-15.736415521	-72.215135614	3565.3	
T	-15.736415521	-72.211098906	3632.4	
T	-15.736415521	-72.207062199	3741.4	
T	-15.736415521	-72.203025491	3739.9	
T	-15.736415521	-72.198988784	3781.9	
T	-15.736415521	-72.194952077	3834.3	
T	-15.736415521	-72.190915369	3825.2	
T	-15.736415521	-72.186878662	3801.7	
T	-15.736415521	-72.182841954	3897.0	
T	-15.736415521	-72.178805247	3804.5	
T	-15.736415521	-72.174768539	3712.9	
T	-15.736415521	-72.170731832	3782.8	
T	-15.736415521	-72.166695125	3793.0	
T	-15.736415521	-72.162658417	3944.7	
T	-15.736415521	-72.158621710	4022.7	
T	-15.736415521	-72.154585002	4068.9	
T	-15.736415521	-72.150548295	4275.3	
T	-15.736415521	-72.146511588	4339.7	
T	-15.736415521	-72.142474880	4135.9	
T	-15.736415521	-72.138438173	4059.4	
T	-15.736415521	-72.134401465	3977.9	
T	-15.736415521	-72.130364758	4010.3	
T	-15.736415521	-72.126328050	3772.5	
T	-15.736415521	-72.122291343	3655.9	
T	-15.736415521	-72.118254636	3552.0	
T	-15.736415521	-72.114217928	3491.2	
T	-15.736415521	-72.110181221	3354.6	
T	-15.736415521	-72.106144513	3330.8	
T	-15.736415521	-72.102107806	3445.1	
T	-15.736415521	-72.098071099	3646.4	
T	-15.736415521	-72.094034391	3899.5	
T	-15.736415521	-72.089997684	4048.2	
T	-15.736415521	-72.085960976	4137.3	
T	-15.736415521	-72.081924269	4250.4	
T	-15.736415521	-72.077887561	4242.0	
T	-15.736415521	-72.073850854	4209.0	
T	-15.736415521	-72.069814147	4243.1	
T	-15.736415521	-72.065777439	4225.2	
T	-15.736415521	-72.061740732	4418.2	
T	-15.736415521	-72.057704024	4608.1	
T	-15.736415521	-72.053667317	4713.8	
T	-15.736415521	-72.049630610	4817.1	
T	-15.736415521	-72.045593902	4933.5	
T	-15.736415521	-72.041557195	5082.6	
T	-15.736415521	-72.037520487	5015.4	
T	-15.736415521	-72.033483780	4904.8	
T	-15.736415521	-72.029447073	4790.4	
T	-15.736415521	-72.025410365	4530.8	
T	-15.736415521	-72.021373658	4333.6	
T	-15.736415521	-72.017336950	4310.9	
T	-15.736415521	-72.013300243	4310.5	
T	-15.736415521	-72.009263535	4324.4	
T	-15.736415521	-72.005226828	4328.4	
T	-15.736415521	-72.001190121	4342.0	
T	-15.736415521	-71.997153413	4369.2	
T	-15.736415521	-71.993116706	4425.6	
T	-15.736415521	-71.989079998	4492.4	
T	-15.736415521	-71.985043291	4588.2	
T	-15.736415521	-71.981006584	4664.2	
T	-15.736415521	-71.976969876	4701.4	
T	-15.736415521	-71.972933169	4733.5	
T	-15.736415521	-71.968896461	4762.4	
T	-15.736415521	-71.964859754	4832.4	
T	-15.736415521	-71.960823046	4900.6	
T	-15.736415521	-71.956786339	4908.1	
T	-15.736415521	-71.952749632	4883.7	
T	-15.736415521	-71.948712924	4873.1	
T	-15.736415521	-71.944676217	4892.0	
T	-15.736415521	-71.940639509	4912.8	
